Clave CT,Nombre CT,Clave Turno,Descripción Turno,Zona Escolar,Descripción Mpio.,Descripción Cat. Pob.,Longitud,Latitud,Docentes,Nivel,Modalidad
11DPR0896Y,DR. JOSE MARIA LUIS MORA,1,Matutino,156,San Felipe,R Rural,-101.27553,21.28771,6,PRIMARIA,General Federal
11DPR0456A,JOSE MARIA MORELOS,1,Matutino,11,Valle de Santiago,R Rural,-101.276975,20.424088,6,PRIMARIA,General Federal
11DPR0839G,EMILIANO ZAPATA,1,Matutino,48,Irapuato,R Rural,-101.27714,20.69911,6,PRIMARIA,General Federal
11DPR2330H,EMILIANO ZAPATA,1,Matutino,152,Guanajuato,R Rural,-101.27774,21.11143,2,PRIMARIA,General Federal
11DPR1462S,BENEMERITO DE LAS AMERICAS,1,Matutino,182,Valle de Santiago,R Rural,-101.278254,20.360418,3,PRIMARIA,General Federal
11DPR0684V,JOSE MARIA MORELOS,1,Matutino,23,Moroleón,R Rural,-101.278741,20.100774,3,PRIMARIA,General Federal
11DPR0080E,ANDRES QUINTANA ROO,2,Vespertino,30,Guanajuato,U Urbana,-101.27919,20.93115,6,PRIMARIA,General Federal
11DPR2127W,RAFAEL RAMIREZ,1,Matutino,30,Guanajuato,U Urbana,-101.27919,20.93115,12,PRIMARIA,General Federal
11DPR2574C,NIÑOS HEROES,1,Matutino,107,San Felipe,R Rural,-101.27943,21.6988,3,PRIMARIA,General Federal
11DPR1235X,MELCHOR OCAMPO,1,Matutino,99,Irapuato,U Urbana,-101.27973,20.62344,13,PRIMARIA,General Federal
11DPR0851B,VICENTE GUERRERO,1,Matutino,140,Yuriria,R Rural,-101.28024,20.14205,6,PRIMARIA,General Federal
11DPR2667S,LEONA VICARIO,1,Matutino,48,Irapuato,R Rural,-101.28056,20.67333,3,PRIMARIA,General Federal
11DPR0893A,ADOLFO LOPEZ MATEOS,1,Matutino,91,San Felipe,R Rural,-101.28329,21.36817,0,PRIMARIA,General Federal
11DPR3808H,JUAN BAUTISTA MORALES,1,Matutino,1,Guanajuato,U Urbana,-101.28362,20.96714,6,PRIMARIA,General Federal
11DPR3868W,JORGE IBARGÜENGOITIA,2,Vespertino,1,Guanajuato,U Urbana,-101.28362,20.96714,6,PRIMARIA,General Federal
11DPR1959Z,EMILIANO ZAPATA,1,Matutino,1,Guanajuato,R Rural,-101.28419,20.90423,2,PRIMARIA,General Federal
11DPR1822N,BENITO JUAREZ,1,Matutino,99,Irapuato,R Rural,-101.28439,20.62844,6,PRIMARIA,General Federal
11DPR2578Z,ALBINO GARCIA RAMOS,1,Matutino,124,Salamanca,R Rural,-101.28489,20.51297,1,PRIMARIA,General Federal
11DPR0215C,ENCARNACION ORTIZ,1,Matutino,156,San Felipe,R Rural,-101.28556,21.243573,0,PRIMARIA,General Federal
11DPR0594C,LIC. BENITO JUAREZ,1,Matutino,68,Valle de Santiago,R Rural,-101.285636,20.37843,3,PRIMARIA,General Federal
11DPR1625M,GENERAL SOSTENES ROCHA,1,Matutino,30,Guanajuato,U Urbana,-101.28577,20.99486,12,PRIMARIA,General Federal
11DPR0455B,NIÑOS HEROES,1,Matutino,11,Valle de Santiago,R Rural,-101.286243,20.444477,6,PRIMARIA,General Federal
11DPR2238A,LAZARO CARDENAS,1,Matutino,1,Guanajuato,R Rural,-101.287,20.93386,6,PRIMARIA,General Federal
11DPR0598Z,EMILIANO ZAPATA,1,Matutino,11,Valle de Santiago,R Rural,-101.287047,20.453764,3,PRIMARIA,General Federal
11DPR3807I,EMMA GODOY,1,Matutino,131,Guanajuato,U Urbana,-101.28778,21.0057,12,PRIMARIA,General Federal
11DPR0512C,LAZARO CARDENAS,1,Matutino,140,Yuriria,R Rural,-101.288048,20.127515,6,PRIMARIA,General Federal
11DPR1446A,CUAUHTEMOC,1,Matutino,97,Irapuato,R Rural,-101.28833,20.78333,1,PRIMARIA,General Federal
11DPR1316H,NICOLAS BRAVO,1,Matutino,107,San Felipe,R Rural,-101.28857,21.54372,2,PRIMARIA,General Federal
11DPR1437T,MELCHOR OCAMPO,1,Matutino,96,Valle de Santiago,R Rural,-101.289674,20.338281,0,PRIMARIA,General Federal
11DPR1000J,URSULO GALVAN,1,Matutino,114,Irapuato,R Rural,-101.28978,20.73714,3,PRIMARIA,General Federal
11DPR0683W,MIGUEL HIDALGO,1,Matutino,165,Moroleón,R Rural,-101.2906,20.06405,0,PRIMARIA,General Federal
11DPR0454C,EMILIANO ZAPATA,1,Matutino,11,Valle de Santiago,R Rural,-101.29357,20.4508,1,PRIMARIA,General Federal
11DPR3985L,INDEPENDENCIA,1,Matutino,30,Guanajuato,U Urbana,-101.293995,20.969676,8,PRIMARIA,General Federal
11DPR2250W,FRANCISCO I. MADERO,1,Matutino,107,San Felipe,R Rural,-101.29419,21.56381,1,PRIMARIA,General Federal
11DPR0850C,NICOLAS BRAVO,1,Matutino,95,Yuriria,R Rural,-101.294331,20.239547,3,PRIMARIA,General Federal
11DPR1408Y,MANUEL AVILA CAMACHO,1,Matutino,48,Irapuato,R Rural,-101.29498,20.69011,12,PRIMARIA,General Federal
11DPR3581T,LIC. EUQUERIO GUERRERO LOPEZ,1,Matutino,131,Guanajuato,U Urbana,-101.29508,20.99725,18,PRIMARIA,General Federal
11DPR0597Z,REVOLUCION,1,Matutino,68,Valle de Santiago,R Rural,-101.29516,20.4142,6,PRIMARIA,General Federal
11DPR1400F,FELIPE CARRILLO PUERTO,1,Matutino,114,Irapuato,R Rural,-101.29569,20.71747,6,PRIMARIA,General Federal
11DPR2104L,FRANCISCO I. MADERO,1,Matutino,30,Guanajuato,R Rural,-101.29678,20.93535,4,PRIMARIA,General Federal
11DPR0452E,DAVID G. BERLANGA,1,Matutino,11,Valle de Santiago,R Rural,-101.2972,20.41838,6,PRIMARIA,General Federal
11DPR2679X,LEONA VICARIO,1,Matutino,142,Valle de Santiago,R Rural,-101.29833,20.531694,0,PRIMARIA,General Federal
11DPR1436U,IGNACIO ALLENDE,1,Matutino,96,Valle de Santiago,R Rural,-101.299019,20.326476,0,PRIMARIA,General Federal
11DPR0651D,MIGUEL HIDALGO,1,Matutino,123,Salamanca,R Rural,-101.300332,20.558878,6,PRIMARIA,General Federal
11DPR3758Q,SOR JUANA INES DE LA CRUZ,2,Vespertino,123,Salamanca,R Rural,-101.300332,20.558878,3,PRIMARIA,General Federal
11DPR1398H,FRANCISCO I. MADERO,1,Matutino,48,Irapuato,U Urbana,-101.30056,20.66154,12,PRIMARIA,General Federal
11DPR2151W,JOSE MARIA PINO SUAREZ,2,Vespertino,48,Irapuato,U Urbana,-101.30056,20.66154,4,PRIMARIA,General Federal
11DPR1624N,BENITO JUAREZ,1,Matutino,30,Guanajuato,R Rural,-101.30103,20.94868,6,PRIMARIA,General Federal
11DPR0841V,GUADALUPE VICTORIA,1,Matutino,97,Irapuato,U Urbana,-101.30108,20.74462,16,PRIMARIA,General Federal
11DPR0517Y,AQUILES SERDAN,1,Matutino,50,Yuriria,R Rural,-101.301121,20.246615,1,PRIMARIA,General Federal
11DPR0600X,EMILIANO ZAPATA,1,Matutino,96,Valle de Santiago,R Rural,-101.301647,20.308553,2,PRIMARIA,General Federal
11DPR1320U,JOSE MA MORELOS,1,Matutino,91,San Felipe,R Rural,-101.30238,21.38899,0,PRIMARIA,General Federal
11DPR0423J,MIGUEL HIDALGO,1,Matutino,96,Valle de Santiago,R Rural,-101.302565,20.287073,1,PRIMARIA,General Federal
11DPR0437M,JUSTO SIERRA,1,Matutino,68,Valle de Santiago,R Rural,-101.303232,20.416243,4,PRIMARIA,General Federal
11DPR1470A,NICOLAS BRAVO,1,Matutino,114,Irapuato,U Urbana,-101.30439,20.70942,12,PRIMARIA,General Federal
11DPR2150X,MELCHOR OCAMPO,2,Vespertino,114,Irapuato,U Urbana,-101.30439,20.70942,6,PRIMARIA,General Federal
11DPR2666T,PLAN DE SAN LUIS,1,Matutino,48,Irapuato,U Urbana,-101.30497,20.67881,6,PRIMARIA,General Federal
11DPR1636S,MIGUEL HIDALGO,1,Matutino,131,Guanajuato,R Rural,-101.30523,20.96473,12,PRIMARIA,General Federal
11DPR1364R,JOSE MA. MORELOS,1,Matutino,140,Yuriria,R Rural,-101.30583,20.133726,0,PRIMARIA,General Federal
11DPR1360V,MARIANO MATAMOROS,1,Matutino,123,Salamanca,R Rural,-101.30603,20.53747,0,PRIMARIA,General Federal
11DPR2343L,GUADALUPE VICTORIA,1,Matutino,107,San Felipe,R Rural,-101.30612,21.64574,2,PRIMARIA,General Federal
11DPR0508Q,AGUSTIN MELGAR,1,Matutino,50,Yuriria,R Rural,-101.30617,20.18196,3,PRIMARIA,General Federal
11DPR2678Y,EMILIANO ZAPATA,1,Matutino,11,Valle de Santiago,R Rural,-101.306545,20.476949,0,PRIMARIA,General Federal
11DPR1223S,VASCO DE QUIROGA,1,Matutino,99,Irapuato,R Rural,-101.30742,20.61292,3,PRIMARIA,General Federal
11DPR0686T,IGNACIO ALLENDE,1,Matutino,165,Moroleón,R Rural,-101.308996,20.055821,0,PRIMARIA,General Federal
11DPR0513B,MORELOS,1,Matutino,50,Yuriria,R Rural,-101.309054,20.198537,1,PRIMARIA,General Federal
11DPR0084A,JOSEFA ORTIZ DE DOMINGUEZ,2,Vespertino,30,Guanajuato,U Urbana,-101.30967,20.85635,6,PRIMARIA,General Federal
11DPR1563Q,INTIMACION,1,Matutino,30,Guanajuato,U Urbana,-101.30967,20.85635,12,PRIMARIA,General Federal
11DPR0446U,MARIANO MATAMOROS,1,Matutino,182,Valle de Santiago,R Rural,-101.311085,20.438016,6,PRIMARIA,General Federal
